date,district,disaster_type,severity,affected_population,economic_loss_usd
2000-05-14,Nyarugenge,Flood,High,3633,599210
2000-05-15,Gakenke,Storm,High,4366,862184
2000-05-18,Burera,Drought,High,1670,641638
2000-05-18,Kicukiro,Flood,Low,1809,514474
2000-05-19,Nyaruguru,Landslide,Low,384,45869
2000-05-19,Nyarugenge,Earthquake,Low,561,434673
2000-05-20,Karongi,Drought,Low,1970,348930
2000-05-20,Burera,Storm,Medium,172,893757
2000-05-21,Nyaruguru,Earthquake,Severe,3204,96674
2000-05-21,Rubavu,Landslide,High,4725,437765
2000-05-23,Kamonyi,Storm,Low,4523,881936
2000-05-24,Gatsibo,Flood,Medium,868,778849
2000-05-25,Ruhango,Earthquake,Medium,539,720438
2000-05-25,Rusizi,Drought,Medium,4288,229290
2000-05-27,Ngoma,Flood,Medium,3590,107843
2000-05-28,Gicumbi,Drought,Low,237,529444
2000-05-28,Nyabihu,Landslide,Severe,1134,311913
2000-05-29,Ngororero,Drought,Medium,4818,16256
2000-05-29,Ngororero,Drought,Low,4395,990114
2000-05-31,Rusizi,Drought,Severe,3758,86085
2000-06-03,Rulindo,Landslide,Medium,3383,733662
2000-06-05,Nyagatare,Landslide,Severe,3330,913067
2000-06-06,Rulindo,Drought,High,3400,33457
2000-06-07,Rusizi,Flood,High,2948,694624
2000-06-08,Muhanga,Flood,Low,1820,117294
2000-06-10,Kayonza,Landslide,Low,2030,218466
2000-06-11,Nyagatare,Landslide,Severe,3356,891067
2000-06-14,Gakenke,Drought,High,3679,801608
2000-06-15,Kamonyi,Earthquake,High,1879,833580
2000-06-16,Huye,Drought,Medium,3601,446690
2000-06-17,Huye,Flood,Low,4354,89853
2000-06-19,Rulindo,Flood,Low,2951,12644
2000-06-22,Rusizi,Drought,Severe,4495,935922
2000-06-24,Nyabihu,Storm,High,479,395834
2000-06-25,Nyabihu,Landslide,Low,4338,430265
2000-06-26,Gisagara,Flood,Severe,1032,3725
2000-06-27,Rubavu,Drought,Medium,2781,499536
2000-06-28,Gatsibo,Drought,High,2580,642545
2000-06-29,Kamonyi,Landslide,Medium,3988,200921
2000-07-03,Nyamagabe,Storm,Low,880,14512
2000-07-06,Nyaruguru,Landslide,Low,986,92405
2000-07-07,Ngoma,Storm,Low,1879,72143
2000-07-10,Muhanga,Landslide,Severe,3966,699233
2000-07-11,Rwamagana,Landslide,Medium,1229,937814
2000-07-12,Muhanga,Landslide,Severe,4336,157554
2000-07-13,Musanze,Storm,Low,1711,542753
2000-07-15,Kirehe,Flood,High,222,986348
2000-07-19,Gasabo,Flood,High,4997,659549
2000-07-21,Gakenke,Earthquake,Medium,529,998823
2000-07-22,Nyamasheke,Flood,Low,2521,179384
2000-07-24,Gisagara,Storm,Low,732,623404
2000-07-26,Huye,Storm,Severe,1587,242838
2000-07-28,Ngoma,Landslide,High,3491,925633
2000-07-29,Kirehe,Landslide,Medium,4235,314787
2000-07-30,Nyaruguru,Drought,Low,4841,902680
2000-07-31,Muhanga,Flood,Low,2251,891414
2000-08-02,Kamonyi,Storm,Medium,2746,218654
2000-08-05,Nyamasheke,Flood,Severe,4043,389327
2000-08-07,Rusizi,Flood,High,3401,963519
2000-08-08,Nyamasheke,Earthquake,Low,4940,432590
2000-08-09,Kirehe,Earthquake,High,4253,411644
2000-08-10,Gisagara,Storm,Severe,1731,936974
2000-08-12,Nyanza,Flood,Low,3591,134391
2000-08-14,Rwamagana,Flood,Medium,4243,963964
2000-08-15,Gakenke,Landslide,High,3097,305760
2000-08-16,Karongi,Flood,High,753,676548
2000-08-17,Nyamasheke,Storm,High,2708,469517
2000-08-19,Karongi,Flood,Medium,136,987522
2000-08-21,Musanze,Storm,High,2872,224481
2000-08-22,Huye,Drought,Medium,1787,416344
2000-08-23,Musanze,Storm,Medium,1531,73054
2000-08-24,Nyanza,Flood,Severe,4643,200762
2000-08-25,Gakenke,Landslide,Low,3698,180051
2000-08-26,Nyamagabe,Drought,Medium,2632,536724
2000-08-28,Nyaruguru,Landslide,Low,1096,988173
2000-08-31,Gicumbi,Earthquake,Low,1546,370065
2000-09-01,Rubavu,Storm,Severe,931,596351
2000-09-01,Rubavu,Earthquake,Severe,552,225519
2000-09-02,Ngoma,Earthquake,High,3796,327222
2000-09-02,Gatsibo,Storm,Low,2887,519628
2000-09-03,Nyamagabe,Landslide,Severe,2526,70629
2000-09-06,Gisagara,Flood,Medium,1194,86390
2000-09-06,Nyagatare,Landslide,Severe,2337,409258
2000-09-08,Nyaruguru,Drought,Low,1549,792225
2000-09-09,Ngoma,Flood,High,2871,715298
2000-09-10,Rutsiro,Flood,Severe,2598,730008
2000-09-10,Karongi,Landslide,Severe,969,884524
2000-09-11,Rusizi,Storm,Low,2401,907583
2000-09-12,Kayonza,Flood,Severe,893,279342
2000-09-14,Kicukiro,Earthquake,Low,3161,642708
2000-09-14,Ngoma,Earthquake,Medium,3423,504602
2000-09-15,Gatsibo,Storm,Medium,1934,356337
2000-09-16,Karongi,Landslide,Low,3770,762627
2000-09-17,Nyamasheke,Drought,Low,4475,671582
2000-09-18,Karongi,Drought,Medium,3404,595387
2000-09-19,Huye,Landslide,Medium,4383,885879
2000-09-20,Ngoma,Landslide,Low,4030,415135
2000-09-20,Rulindo,Flood,Severe,617,840872
2000-09-22,Gasabo,Landslide,Medium,3325,669191
2000-09-22,Kayonza,Flood,Low,3119,740020
2000-09-23,Gakenke,Flood,Low,1638,183487
2000-09-24,Nyamasheke,Drought,Medium,2560,530137
2000-09-26,Musanze,Earthquake,High,4895,942469
2000-09-26,Karongi,Earthquake,High,51,963447
2000-09-27,Karongi,Storm,High,3926,926208
2000-09-28,Nyagatare,Landslide,Medium,479,543530
2000-09-29,Burera,Drought,High,1485,734340
2000-10-02,Nyamagabe,Landslide,Low,4706,662189
2000-10-04,Musanze,Storm,High,2900,830501
2000-10-07,Nyagatare,Drought,Severe,991,756062
2000-10-08,Gatsibo,Storm,High,3633,423439
2000-10-08,Nyamasheke,Drought,Medium,792,820311
2000-10-09,Nyaruguru,Flood,Medium,2557,497976
2000-10-09,Ngoma,Storm,Low,3690,576347
2000-10-11,Nyamagabe,Landslide,Low,3919,528574
2000-10-12,Gakenke,Drought,High,3115,626249
2000-10-12,Kirehe,Storm,Low,1977,257715
2000-10-13,Gasabo,Flood,Low,819,592528
2000-10-13,Gasabo,Storm,High,1457,831180
2000-10-14,Karongi,Landslide,High,2673,575440
2000-10-15,Nyabihu,Landslide,Medium,1914,63927
2000-10-17,Rutsiro,Drought,Severe,4526,767200
2000-10-18,Ngororero,Storm,High,3748,307168
2000-10-19,Ruhango,Earthquake,Low,3514,118533
2000-10-20,Huye,Storm,Medium,3293,957756
2000-10-21,Rusizi,Storm,High,2678,438923
2000-10-24,Nyabihu,Earthquake,High,321,876055
2000-10-24,Gicumbi,Earthquake,High,1055,42677
2000-10-26,Rulindo,Flood,Severe,3418,280844
2000-10-28,Karongi,Landslide,Medium,4819,204374
2000-11-01,Rwamagana,Storm,Severe,3820,223588
2000-11-02,Gisagara,Drought,Low,1323,510695
2000-11-04,Rulindo,Flood,Medium,1541,311798
2000-11-05,Gicumbi,Flood,High,2239,114811
2000-11-06,Karongi,Earthquake,Medium,3845,219976
2000-11-07,Ngoma,Earthquake,Low,434,140983
2000-11-07,Musanze,Flood,High,426,237768
2000-11-10,Ngoma,Storm,Severe,2730,987619
2000-11-11,Gisagara,Flood,Medium,1927,943176
2000-11-11,Burera,Flood,High,3268,574853
2000-11-12,Nyarugenge,Flood,High,1876,965082
2000-11-13,Nyabihu,Landslide,Severe,810,658859
2000-11-15,Kamonyi,Landslide,Low,3696,867011
2000-11-16,Gatsibo,Flood,Low,3766,853195
2000-11-16,Ngoma,Flood,Medium,1759,368901
2000-11-17,Nyabihu,Flood,Medium,3392,967855
2000-11-17,Musanze,Landslide,Severe,2777,173489
2000-11-18,Rubavu,Flood,High,3983,658011
2000-11-19,Musanze,Flood,Medium,1923,45735
2000-11-20,Musanze,Storm,Severe,1148,129929
2000-11-22,Karongi,Earthquake,Medium,2392,935061
2000-11-22,Burera,Flood,Low,1331,305992
2000-11-23,Gisagara,Storm,High,4860,528662
2000-11-24,Rubavu,Earthquake,Low,51,479872
2000-11-25,Nyarugenge,Landslide,Low,3509,233100
2000-11-26,Kirehe,Earthquake,Medium,1162,669130
2000-11-28,Ngororero,Landslide,Medium,3018,278012
2000-12-04,Gatsibo,Landslide,Medium,3967,68781
2000-12-04,Gatsibo,Flood,Severe,3257,726897
2000-12-07,Rulindo,Storm,Medium,3110,848021
2000-12-08,Nyamagabe,Storm,High,2097,717436
2000-12-08,Gatsibo,Earthquake,Medium,1289,848675
2000-12-09,Rusizi,Earthquake,Severe,1914,457720
2000-12-13,Karongi,Landslide,Severe,4611,186344
2000-12-13,Nyaruguru,Drought,Medium,1951,779352
2000-12-15,Nyanza,Earthquake,Severe,1726,941741
2000-12-15,Gatsibo,Drought,Low,3021,646811
2000-12-16,Musanze,Earthquake,Medium,4381,424306
2000-12-19,Nyanza,Landslide,Severe,1012,967028
2000-12-20,Gicumbi,Earthquake,Medium,4689,778568
2000-12-22,Gasabo,Storm,Low,3027,599243
2000-12-25,Nyamasheke,Storm,Medium,730,489778
2000-12-26,Ruhango,Landslide,Severe,1158,98335
2000-12-27,Ruhango,Drought,Low,3848,60778
2000-12-27,Huye,Landslide,High,2380,850868
2000-12-28,Huye,Flood,Low,2731,931763
2000-12-28,Ruhango,Drought,High,1681,873101
2000-12-29,Kayonza,Storm,Medium,578,373740
2000-12-30,Nyanza,Flood,Severe,4828,909739
2000-12-31,Kamonyi,Landslide,High,530,113778
2000-12-31,Nyabihu,Landslide,Low,2864,12007
2001-01-02,Ngoma,Storm,High,4764,327760
2001-01-03,Gisagara,Flood,Severe,3780,976608
2001-01-04,Karongi,Drought,High,2790,150431
2001-01-06,Nyanza,Landslide,Severe,1190,21207
2001-01-07,Nyabihu,Flood,Low,3854,140797
2001-01-08,Gisagara,Drought,High,3263,369981
2001-01-09,Burera,Earthquake,Medium,4052,567124
2001-01-10,Nyamagabe,Landslide,Low,1528,188928
2001-01-11,Gatsibo,Drought,Severe,1263,985384
2001-01-12,Gakenke,Earthquake,High,2670,878347
2001-01-13,Nyarugenge,Flood,Medium,4189,87132
2001-01-16,Nyabihu,Drought,Medium,3916,972353
2001-01-17,Rusizi,Landslide,High,2892,795347
2001-01-18,Gasabo,Flood,Severe,2872,700114
2001-01-21,Kamonyi,Flood,Low,3454,800683
2001-01-23,Nyaruguru,Drought,Severe,2621,601767
2001-01-25,Kayonza,Drought,Low,639,536500
2001-01-26,Gicumbi,Earthquake,Low,300,444569
2001-01-28,Nyaruguru,Drought,High,1993,442314
2001-01-30,Musanze,Drought,Severe,4365,369037
2001-02-01,Nyagatare,Earthquake,Low,4676,398629
2001-02-02,Burera,Storm,Medium,1884,181236
2001-02-06,Muhanga,Flood,Severe,1496,408955
2001-02-07,Gatsibo,Landslide,Medium,461,543427
2001-02-08,Huye,Landslide,Medium,667,316791
2001-02-09,Gasabo,Storm,Medium,3987,977440
2001-02-11,Huye,Landslide,High,4524,609433
2001-02-13,Nyabihu,Earthquake,Low,3760,534482
2001-02-16,Nyamasheke,Storm,Low,3545,395376
2001-02-18,Burera,Flood,Medium,1932,679076
2001-02-21,Rulindo,Flood,Low,2757,808277
2001-02-26,Burera,Earthquake,Medium,4920,912123
2001-02-28,Nyarugenge,Drought,Medium,4188,461103
2001-03-06,Nyaruguru,Flood,Severe,2689,844310
2001-03-07,Nyagatare,Drought,Medium,3504,758565
2001-03-07,Kirehe,Flood,High,1524,477015
2001-03-08,Nyamagabe,Drought,Medium,4966,613702
2001-03-08,Nyanza,Earthquake,Low,1533,979630
2001-03-10,Gatsibo,Storm,Low,4572,408612
2001-03-11,Rutsiro,Earthquake,High,118,32907
2001-03-13,Rutsiro,Landslide,Severe,1557,917874
2001-03-13,Gatsibo,Drought,Low,1908,276490
2001-03-14,Gisagara,Drought,Medium,4843,342148
2001-03-17,Ngororero,Landslide,Medium,2655,995686
2001-03-21,Rusizi,Earthquake,Medium,695,514987
2001-03-21,Nyabihu,Earthquake,Low,4942,763584
2001-03-23,Kirehe,Flood,High,3424,946353
2001-03-23,Huye,Earthquake,Low,3698,872660
2001-03-24,Burera,Flood,High,4753,259658
2001-03-27,Burera,Storm,Severe,795,595394
2001-03-27,Ngoma,Storm,Severe,1278,245601
2001-03-28,Nyamagabe,Storm,Severe,4729,522203
2001-03-29,Ruhango,Landslide,High,2271,786232
2001-03-29,Ruhango,Flood,Low,4736,566157
2001-03-31,Ngororero,Earthquake,High,1143,135442
2001-04-01,Nyamasheke,Landslide,High,293,979766
2001-04-01,Karongi,Storm,Severe,510,956765
2001-04-02,Gakenke,Drought,High,1321,278175
2001-04-02,Burera,Storm,Medium,1923,233168
2001-04-03,Ngoma,Flood,Low,80,408594
2001-04-06,Kirehe,Earthquake,Medium,649,91588
2001-04-06,Nyagatare,Drought,Severe,4926,650039
2001-04-09,Bugesera,Earthquake,Low,4825,1811
2001-04-10,Karongi,Earthquake,Low,790,677497
2001-04-11,Nyamasheke,Drought,Low,4771,319873
2001-04-12,Muhanga,Flood,Severe,4692,90965
2001-04-13,Rubavu,Earthquake,Medium,1836,134886
2001-04-14,Huye,Earthquake,Medium,309,623988
2001-04-15,Kamonyi,Storm,Medium,733,957443
2001-04-15,Rusizi,Drought,Low,2335,858219
2001-04-16,Gisagara,Earthquake,High,4744,625776
2001-04-16,Rubavu,Earthquake,Low,1019,30310
2001-04-17,Nyagatare,Storm,Low,2678,590818
2001-04-18,Bugesera,Drought,Low,3521,50871
2001-04-18,Rubavu,Earthquake,High,2095,325203
2001-04-23,Rubavu,Earthquake,Severe,2909,652306
2001-04-23,Nyamagabe,Earthquake,Severe,3729,758137
2001-04-25,Rwamagana,Drought,Severe,2611,437640
2001-04-25,Gatsibo,Earthquake,Severe,784,320205
2001-04-26,Rutsiro,Storm,Severe,1140,675606
2001-04-26,Ruhango,Landslide,Medium,3206,793652
2001-04-28,Burera,Storm,Severe,4371,571751
2001-04-29,Kamonyi,Landslide,Medium,2861,263417
2001-05-01,Rwamagana,Earthquake,Medium,4145,634640
2001-05-01,Nyamasheke,Earthquake,Severe,2686,356260
2001-05-04,Ngoma,Earthquake,Medium,703,570006
2001-05-05,Ngoma,Flood,High,2803,280316
2001-05-05,Rulindo,Drought,High,84,817505
2001-05-06,Ngoma,Earthquake,Severe,245,149144
2001-05-06,Rulindo,Landslide,Severe,1820,914497
2001-05-07,Nyarugenge,Flood,Severe,4270,1062
2001-05-08,Nyamasheke,Earthquake,Medium,1458,288694
2001-05-09,Gicumbi,Landslide,Medium,3284,207012
2001-05-09,Rulindo,Landslide,High,2286,308965
2001-05-10,Huye,Landslide,Low,2227,836401
2001-05-10,Gakenke,Drought,Medium,150,973906
2001-05-11,Bugesera,Drought,Low,1480,425868
2001-05-11,Kicukiro,Landslide,Medium,396,706756
2001-05-12,Ngororero,Drought,Severe,221,381972
2001-05-13,Musanze,Earthquake,Medium,591,475532
2001-05-13,Kamonyi,Landslide,Low,910,557574
2001-05-15,Ruhango,Earthquake,Low,4719,187995
2001-05-15,Ngoma,Earthquake,Medium,2405,212384
2001-05-18,Nyamasheke,Drought,Severe,4726,169752
2001-05-21,Nyarugenge,Storm,Low,1283,161271
2001-05-21,Gakenke,Flood,Severe,2488,733694
2001-05-22,Rulindo,Drought,Medium,360,666824
2001-05-22,Musanze,Landslide,Medium,4866,536456
2001-05-23,Huye,Flood,High,426,292195
2001-05-23,Burera,Flood,High,4126,359404
2001-05-25,Nyanza,Landslide,High,2392,54884
2001-05-29,Rutsiro,Flood,High,3542,989050
2001-05-30,Nyaruguru,Storm,Severe,3841,108491
2001-05-30,Nyarugenge,Storm,Medium,3086,988001
2001-05-31,Rulindo,Flood,Severe,4991,259074
2001-05-31,Rulindo,Earthquake,Low,4177,350235
2001-06-01,Karongi,Flood,Severe,4294,71876
2001-06-04,Gakenke,Earthquake,Medium,3036,345070
2001-06-05,Gakenke,Storm,Medium,4510,908254
2001-06-07,Nyanza,Earthquake,Severe,1720,639313
2001-06-08,Bugesera,Landslide,High,237,395410
2001-06-09,Karongi,Earthquake,Severe,4229,215578
2001-06-10,Gicumbi,Landslide,High,2405,998696
2001-06-11,Musanze,Drought,Medium,1521,37901
2001-06-15,Rwamagana,Storm,Low,3864,626078
2001-06-16,Rulindo,Drought,Severe,2814,374456
2001-06-22,Gakenke,Drought,High,2538,971040
2001-06-23,Ngoma,Flood,Severe,2933,102319
2001-06-24,Kayonza,Flood,Low,3824,594034
2001-06-27,Nyagatare,Landslide,Medium,4647,801864
2001-06-28,Bugesera,Flood,High,2409,994041
2001-06-30,Rutsiro,Landslide,Medium,1884,301293
2001-07-04,Nyarugenge,Drought,Severe,4089,948243
2001-07-06,Rwamagana,Drought,Severe,3844,554299
2001-07-07,Gisagara,Storm,High,1293,386158
2001-07-13,Rubavu,Earthquake,Severe,1770,446446
2001-07-15,Gicumbi,Drought,High,4262,118381
2001-07-16,Rubavu,Storm,Low,3466,132840
2001-07-21,Kirehe,Landslide,Severe,975,16292
2001-07-24,Gasabo,Storm,Low,3224,410757
2001-07-26,Gatsibo,Flood,Low,1438,243833
2001-07-27,Musanze,Storm,Severe,2330,575151
2001-07-29,Bugesera,Storm,High,2088,273418
2001-07-30,Nyamasheke,Drought,High,1966,361217
2001-07-31,Bugesera,Drought,High,277,808035
2001-08-01,Nyamasheke,Flood,Medium,494,438355
2001-08-02,Kicukiro,Storm,High,4954,255095
2001-08-04,Kamonyi,Landslide,Severe,2887,853409
2001-08-05,Muhanga,Drought,Low,538,397317
2001-08-07,Rulindo,Storm,High,767,242155
2001-08-08,Kirehe,Drought,Low,4091,685076
2001-08-09,Gakenke,Flood,High,238,646086
2001-08-13,Gatsibo,Drought,Low,2637,568251
2001-08-15,Ngoma,Flood,High,327,3116
2001-08-16,Gakenke,Flood,Severe,4257,360035
2001-08-17,Kayonza,Drought,Low,4941,596930
2001-08-18,Rwamagana,Storm,Medium,2118,903203
2001-08-20,Bugesera,Drought,High,1722,116110
2001-08-21,Kamonyi,Storm,Medium,1217,967752
2001-08-22,Ruhango,Flood,Severe,4642,853086
2001-08-23,Ruhango,Earthquake,Severe,2116,392443
2001-08-24,Nyarugenge,Storm,Low,4669,574463
2001-08-28,Rubavu,Flood,Low,2400,626213
2001-08-31,Nyamagabe,Landslide,Medium,4345,128490
2001-09-01,Kamonyi,Earthquake,Low,1592,775524
2001-09-02,Nyanza,Flood,Medium,3598,584691
2001-09-03,Burera,Earthquake,Medium,1549,282794
2001-09-03,Karongi,Landslide,Low,1615,627883
2001-09-04,Ngoma,Flood,High,3074,388841
2001-09-04,Kicukiro,Storm,Severe,2890,25849
2001-09-06,Ruhango,Landslide,Medium,3502,235888
2001-09-07,Rusizi,Flood,Medium,2194,786042
2001-09-09,Gakenke,Storm,Medium,2505,583266
2001-09-09,Rubavu,Landslide,Medium,1869,418207
2001-09-10,Nyabihu,Earthquake,Low,4168,429602
2001-09-11,Gisagara,Flood,Severe,3264,509580
2001-09-11,Nyarugenge,Landslide,Low,1375,252115
2001-09-12,Huye,Flood,Medium,1422,771684
2001-09-13,Gasabo,Flood,Medium,1282,909727
2001-09-14,Huye,Flood,High,4432,896665
2001-09-16,Rutsiro,Earthquake,Low,1217,23452
2001-09-17,Nyamasheke,Earthquake,Medium,2308,382139
2001-09-18,Gisagara,Earthquake,Medium,4308,448356
2001-09-18,Musanze,Drought,Medium,1303,58568
2001-09-19,Rwamagana,Earthquake,Medium,2702,709833
2001-09-19,Nyabihu,Earthquake,Severe,2963,151229
2001-09-20,Ngororero,Earthquake,High,3151,601399
2001-09-21,Rusizi,Earthquake,Low,3033,360789
2001-09-23,Musanze,Storm,Severe,3604,269047
2001-09-24,Nyagatare,Drought,Low,1735,274591
2001-09-24,Nyanza,Landslide,Severe,760,191200
2001-09-25,Kicukiro,Flood,Severe,3575,55368
2001-09-25,Musanze,Storm,Medium,2709,300715
2001-09-26,Muhanga,Landslide,High,536,751848
2001-09-26,Ngororero,Flood,High,4826,120733
2001-09-27,Kicukiro,Landslide,Severe,2650,609673
2001-09-27,Nyaruguru,Drought,Medium,4717,135279
2001-09-28,Rusizi,Landslide,Severe,439,620134
2001-09-28,Karongi,Drought,High,2257,452279
2001-09-30,Rutsiro,Drought,Medium,4699,70071
2001-10-02,Kayonza,Landslide,High,3737,225159
2001-10-03,Karongi,Flood,Medium,1119,967952
2001-10-04,Musanze,Earthquake,Severe,981,844625
2001-10-04,Nyaruguru,Earthquake,Medium,2599,583825
2001-10-05,Kayonza,Drought,Low,3155,821130
2001-10-06,Gicumbi,Earthquake,Medium,3290,923959
2001-10-06,Ruhango,Storm,Medium,1198,423556
2001-10-07,Nyamagabe,Landslide,Severe,1809,323146
2001-10-07,Gisagara,Storm,High,4938,828133
2001-10-08,Rubavu,Landslide,Low,2833,237100
2001-10-08,Huye,Earthquake,Medium,1420,774194
2001-10-09,Bugesera,Flood,Low,2818,111589
2001-10-12,Nyamagabe,Flood,High,4181,296021
2001-10-13,Kamonyi,Earthquake,Low,4738,104503
2001-10-13,Kayonza,Flood,High,4796,179462
2001-10-14,Kicukiro,Drought,Low,3837,834012
2001-10-14,Kicukiro,Flood,Medium,4892,24174
2001-10-15,Musanze,Landslide,High,2636,14287
2001-10-15,Kamonyi,Landslide,Severe,3105,156671
2001-10-17,Huye,Landslide,Severe,4853,222996
2001-10-18,Nyagatare,Storm,Low,750,716807
2001-10-19,Huye,Storm,Medium,3787,127557
2001-10-19,Burera,Earthquake,Severe,1693,265238
2001-10-20,Kirehe,Drought,Medium,1956,393724
2001-10-21,Huye,Storm,High,516,5219
2001-10-22,Nyanza,Drought,High,1433,895730
2001-10-22,Rusizi,Flood,Low,894,27117
2001-10-23,Burera,Storm,Medium,474,771510
2001-10-23,Kamonyi,Drought,Low,4782,494147
