district,sector,latitude,longitude,soil_type,flood_count_5yr,flash_flood_count_5yr,riverine_flood_count_5yr,landslide_count_5yr,mudslide_count_5yr,drought_months_5yr,severe_storm_count_5yr,windstorm_count_5yr,hailstorm_count_5yr,lightning_strike_count_5yr,earthquake_count_5yr,forest_fire_count_5yr,epidemic_outbreak_count_5yr,casualties_5yr,displaced_people_5yr,damaged_buildings_5yr,damaged_crops_hectares_5yr,infrastructure_damage_count_5yr,annual_rainfall_mm,max_daily_rainfall_mm,dry_season_length_days,extreme_heat_days_per_year,extreme_rainfall_days_per_year,elevation_m,slope_degree,distance_to_water_km,soil_erosion_risk_index,vegetation_cover_percentage,population_density,infrastructure_index,emergency_resources_score,early_warning_systems_score,healthcare_access_score,poverty_index,historical_damage_usd
Gasabo,Bumbogo,-1.8897,30.1147,Sandy clay,2,4,3,0,3,0,8,8,0,10,4,0,1,0,489,66,139,23,780.8944144321645,53.20591767848694,154.05361721711398,26,17,1893.2875943998545,14.288433506828609,6.076435567907312,32.61298038305563,70.13889014232825,1623.5621999422315,45.61152366428218,68.78955736979498,62.60020625204504,76.98715934062976,28.506027921970936,48434.70873603229
Gasabo,Gatsata,-1.9178,30.0672,Clay loam,0,0,3,0,0,2,11,1,3,12,1,0,2,45,605,42,120,49,772.6485245509002,81.4064374989893,139.0871390509147,23,16,1948.4854195063806,10.947007152843398,5.526019287483245,25.368096400618725,97.68633963785393,887.2312693617246,13.151200057058134,85.3218180108812,64.5544164131979,41.98078982925313,28.695226718619455,102445.93409248025
Gasabo,Gikomero,-1.8794,30.1969,Sandy loam,1,0,2,1,0,2,6,4,0,13,3,0,2,5,798,89,1,42,799.3218131050165,77.93541612083766,121.62182841647174,11,14,1902.3004414718087,19.52166414220417,4.50682935599347,48.83558841702354,63.90287338234749,422.542922347798,49.730698012537374,53.43467159139414,49.23068670091695,60.79022940197116,39.59593780340336,88243.78326175448
Gasabo,Gisozi,-1.9289,30.0839,Clay,1,3,1,3,0,5,3,3,5,14,1,1,0,6,181,165,136,8,611.880300130342,108.1730024072005,65.91653631038876,19,23,1902.6971741925474,12.26183015895206,1.6199223928194182,41.63686462010248,53.89632018680819,644.1457517162048,77.72418378844137,36.173959116204664,64.64413083518163,55.40015873180304,69.75774404531754,89487.9305204253
Gasabo,Jabana,-1.8961,30.0506,Sandy clay,6,3,0,2,3,0,2,9,4,10,2,0,0,44,541,123,252,2,301.76966360663937,74.3358487792106,109.09410711566319,12,20,1914.0683448325901,23.83649072231892,4.848615175539622,45.30099712835745,29.75301585216254,740.0862508370328,42.20724678264506,70.35774636327113,25.65517123686758,56.15925358691347,36.127784062221835,80749.50478794257
Gasabo,Jali,-1.8897,30.1672,Clay loam,3,0,3,3,2,1,3,8,6,10,3,0,0,13,607,11,73,4,683.9494651300652,44.87309202965528,77.29019437442568,42,14,1862.1635700076363,17.538894874388824,3.2605443070075366,29.44932161045193,68.27810355208884,1105.5331297751454,41.07580338942496,76.06366632052662,81.18344105659344,54.72048970360251,1.397392915851313,69371.73501286279
Gasabo,Kacyiru,-1.9447,30.0922,Loamy sand,5,5,4,0,1,0,5,8,5,2,4,0,0,13,44,118,295,59,370.57105678806676,106.30451322193164,114.55105248557538,38,12,1982.1912282338744,15.710227118392275,4.823000243144221,35.85860303945897,99.96286918698199,835.5439333235696,67.23467763759062,55.45386833699241,76.02396106817866,42.280144115635956,32.63266931898974,85308.07176234029
Gasabo,Kimihurura,-1.9536,30.0922,Clay,1,3,1,2,2,5,6,5,5,10,1,0,0,0,677,160,158,41,1065.6653974257351,65.57165665743469,122.58989751539934,29,16,1838.719167523086,15.49721838266289,6.169359355469381,13.126298836054861,67.66095292012066,1228.140777338218,31.807301047573983,-20.553504980560007,65.00540647585525,66.15362286676054,53.193020877542736,109680.21031000368
Gasabo,Kimironko,-1.9494,30.1191,Sandy loam,4,1,1,4,4,0,3,7,6,2,0,0,1,5,143,51,69,25,534.1393454230051,56.89705457318166,93.81168727638631,48,5,1971.9332260895792,10.364301943869599,4.928546769411552,47.79719359056239,-5.982026072162611,1247.8479145925517,32.39531568685233,68.19305786561854,36.25333036582617,54.888722134987226,42.569268252962274,119110.64648558418
Gasabo,Kinyinya,-1.9178,30.1017,Clay loam,1,0,1,3,2,3,8,4,2,5,0,0,1,39,902,36,85,82,1119.0063385916856,55.347364229221895,109.24061460268064,37,25,1887.094134289999,14.207286805906906,5.616549123784699,27.906131588467748,58.86088354071163,1176.2661763243368,52.992457919406625,37.18627151926436,61.146387289387,53.6039494204536,39.48837422614159,137028.94749135943
Gasabo,Ndera,-1.9178,30.1672,Sandy clay,4,4,0,2,3,2,0,6,2,7,4,0,2,28,520,2,14,37,782.1939549058142,108.43523429664648,140.46516913874527,29,7,1895.0357309961141,21.640323131766166,5.683919867301443,24.275864708189438,41.905757668782165,395.70602728987126,44.67978406208568,81.7705829489695,69.56168827760912,71.94352455069887,21.492575986286493,49147.86147528088
Gasabo,Nduba,-1.8794,30.1372,Clay,3,3,0,1,1,6,11,2,3,8,3,1,0,33,989,9,196,69,912.1188157461632,94.18312987263565,139.22743535647453,16,11,1816.3886516892026,16.930663736792255,3.5630169059646346,33.91742734763794,45.523435276254844,1200.9005133460248,41.35276016405123,61.66062898047161,64.42074723766399,92.09636594027931,37.92712114312254,45134.85224733569
Gasabo,Remera,-1.9557,30.1097,Clay loam,1,3,2,1,1,4,6,6,0,8,0,1,0,1,360,140,281,75,771.9354028075925,76.91991950333873,146.84647479975152,24,10,2003.797797123823,15.92543097214754,2.1889475547115205,34.41645967027307,79.20729617384646,1339.630822661572,41.678675670324,45.63403170407014,58.54354758577941,86.79078047298765,37.964619571922086,65800.43006083796
Gasabo,Rusororo,-1.9289,30.1447,Sandy loam,3,5,0,1,1,0,9,7,6,7,3,0,0,27,124,151,350,77,487.9909871943057,93.41870194683727,122.24632786940887,14,5,1913.5460597046444,20.225007587631858,4.762767756286136,29.712107240199003,55.015077792005904,1446.305251901448,34.47690952925653,71.49362635986583,88.5609490012537,52.85527752337329,38.93566526479358,91547.325517435
Gasabo,Rutunga,-1.8897,30.1447,Clay,1,1,1,2,1,3,4,4,3,12,2,1,1,38,606,118,160,11,784.6224845255744,16.647532875161858,115.29629067624879,19,25,1909.7236970458232,16.980468892738493,5.4118076572661415,32.75332109470653,44.69043755959857,972.0311205481797,87.48874549194531,32.13721767132953,51.33788514661992,58.25939494030892,49.44075147002575,40240.82980780471
Kicukiro,Gahanga,-2.0247,30.1017,Sandy clay,2,3,1,4,1,4,5,8,1,1,0,0,2,14,834,42,25,5,811.6276119988529,147.5223806007079,133.6023231035586,19,9,1990.1116952252796,18.117427367555923,7.796462478238043,33.96835445456183,17.698905974172277,1016.2209848170986,64.10493444221774,75.08237312182236,51.08629205658481,50.70276563895275,51.59820362861189,34621.53161060022
Kicukiro,Gatenga,-1.9872,30.0922,Clay loam,0,0,1,0,2,2,4,0,0,13,1,0,1,20,395,53,168,35,955.8375662825067,118.27142549850367,106.14680366120861,39,16,1985.9212288422827,15.181156994166088,5.318697997991099,28.34778084948332,101.50610740805939,579.3856502041767,61.41536838838567,33.620782624821686,58.10801494412243,80.38698138510712,66.77478013928757,52653.52458581543
Kicukiro,Gikondo,-1.975,30.0756,Sandy loam,3,4,3,0,2,1,3,5,1,7,3,0,1,35,421,111,178,40,462.6932217566845,70.46166338862923,144.13131217257444,40,5,1990.653379345206,16.826428711362386,6.645901788041165,43.33758966155882,79.57899049058999,1032.7187835418438,61.71335395333458,72.09175893489031,44.5802726449878,63.50527000006444,24.33718250145006,68189.96682367739
Kicukiro,Kagarama,-1.9935,30.0922,Clay,0,0,0,1,1,2,9,2,0,9,1,1,0,17,52,137,12,96,942.5954021315147,57.988017620201795,111.63166691128237,39,10,2065.8888747725373,12.612907583580302,6.7327165309094,27.749289144874616,44.539073428020494,1290.5960450842206,94.11025964400773,65.2480557730447,46.75684899847603,84.97202396409457,50.92112442791152,93484.53634450072
Kicukiro,Kanombe,-1.975,30.1286,Sandy clay,1,1,2,1,0,2,1,0,1,12,4,0,1,22,544,184,69,12,617.6575533417858,-15.423510888948712,143.52179763926148,32,26,2045.0519363358085,19.81450492632155,3.8670223541758073,54.59726120901958,38.57625727955397,1047.9275540512017,45.92726363566576,59.13062645534508,61.80894450065635,70.03772300810623,9.857497963683397,52052.42890889426
Kicukiro,Kigarama,-2.0006,30.1156,Clay loam,0,4,2,1,0,2,3,0,2,4,3,0,0,43,251,82,55,2,448.2581973867703,94.89271878754502,107.6687680060384,20,19,1924.0056016061935,11.582075829470169,7.4095496584310085,30.37922542386929,55.835349342872114,580.57088465277,35.374342435033554,47.71391643119573,55.335010046572,47.68181168085792,34.01182284902811,25856.83936854209
Kicukiro,Masaka,-2.0247,30.1447,Sandy loam,1,4,4,4,4,1,0,0,5,6,3,0,1,43,516,130,265,42,809.9904488927384,76.34321853529065,127.37677292618052,49,22,2033.5662211777033,8.12388768586845,2.452602108616373,44.591441973001444,16.906896239844514,1207.728267577973,28.508194401492613,28.90035173901385,67.50124058015804,60.40528505766308,54.1630246654695,49248.48518800611
Kicukiro,Niboye,-1.9872,30.1097,Clay,2,0,2,1,2,1,9,6,3,10,2,1,2,31,475,136,195,69,976.7933928953694,125.11539633044131,141.77166877228063,16,26,1956.897718496652,15.229100279560491,6.3995840518650216,18.9914493478224,52.23417770981408,984.4372869462128,41.581903180409,66.54731530332288,75.5468849961984,56.13817374134349,37.30243743792817,82500.33781328004
Kicukiro,Nyarugunga,-1.9935,30.1286,Sandy clay,2,4,3,1,0,0,7,4,3,11,4,0,0,43,797,150,49,12,840.9933231997425,67.1566150107398,100.57348806717866,43,28,1892.4926935614217,11.95243008781436,6.762541279464973,50.74584869595727,51.0239458763573,1282.6094750074326,39.72230012329036,39.265398569467045,34.18468686540158,58.15103331005928,36.2453274233476,107486.58696222183
Kicukiro,Kicukiro,-1.97,30.1,Loam,3,3,0,4,3,4,4,8,1,10,4,0,1,45,462,163,219,77,795.7517475241413,42.40933263395431,102.45126935629334,22,27,1970.2849732620334,23.56882049705377,0.628917428720773,53.3806338555895,37.73630606202823,748.6016333254289,54.30274158890932,62.89163600003879,63.985173553984865,54.557625393923644,44.284755158021284,57446.409574580095
Bugesera,Gashora,-2.1733,30.25,Sandy clay,4,2,0,0,2,0,2,7,6,3,1,0,0,36,289,20,238,98,942.0141405371096,98.11356459917802,108.96427479031601,17,12,2189.2480980930713,20.400814496918734,5.88835958209671,33.077695028932254,90.39017306154656,684.7880460326598,61.63292500843423,53.84174614284049,38.335662480132896,86.58061864162521,59.15347302181895,135476.8100370104
Bugesera,Juru,-2.1347,30.2225,Clay loam,0,1,2,1,1,0,4,8,6,10,0,1,2,1,583,57,125,15,773.0014343118751,107.06273500079678,107.87658765992914,40,17,2106.434547133938,11.333793670622953,6.493183139612563,12.646092250112027,50.36684105620414,1463.357485569944,47.77169735639741,41.857807897779075,78.9905856842885,63.636979821520676,47.73613922816196,10182.321268484928
Bugesera,Kamabuye,-2.1153,30.25,Sandy loam,5,0,1,0,3,1,2,6,4,1,2,0,1,16,913,161,188,20,883.1037265932825,80.15016701000238,143.59310646664608,40,11,2104.572643571669,12.579186739727358,6.684875873087739,30.53184272336429,48.41672745116569,1048.39870756593,54.82712843146342,79.91209696011116,58.44977866360156,68.72410003051058,44.322450342780016,133254.44170529477
Bugesera,Mareba,-2.1347,30.2775,Clay,3,0,2,1,1,6,6,8,0,13,1,0,1,6,613,181,244,98,712.6121629756742,63.13162657885423,97.94024581348035,49,8,2175.2110576000737,7.05674356151397,5.780510669808677,19.21417775417415,54.059632658222824,961.8080273152162,45.89274911782494,46.58241251894772,52.91036278534056,105.23016915925875,9.396061437829552,98892.58279492764
Bugesera,Mayange,-2.1541,30.2225,Sandy clay,6,2,0,4,0,2,7,8,3,9,1,0,1,6,908,144,272,62,613.3529510355493,76.29024353641152,124.01350512879388,19,11,2149.4894210415755,11.652194031196572,1.732463339130319,46.23925089351637,55.782002793911936,1052.0809042978956,51.10518057126761,73.08755209754821,57.68605914042998,44.79521504219635,50.51010038420019,35926.73444970355
Bugesera,Musenyi,-2.1153,30.2775,Clay loam,3,1,1,2,1,1,10,5,5,13,1,0,2,31,580,134,223,52,759.2944299490614,73.45895281516317,107.32446340701861,35,22,2146.12664550562,13.148699292092846,6.87006831549232,45.123154553717214,80.41767126592039,578.5256786338596,48.804135239933245,27.574473231436038,48.84757822867735,58.06984761865045,40.26663568793549,82450.74690849398
Bugesera,Mwogo,-2.1733,30.2225,Sandy loam,1,5,2,5,1,2,9,8,6,13,4,0,0,46,238,157,312,72,646.768052858416,130.51546836513796,66.76703638822943,16,27,2179.213437607098,19.41443839859284,5.088357728175341,28.323305163821257,93.75565465260166,647.130834906739,65.56458998121897,76.23943926396561,56.87866917401384,75.9454261135497,47.57755688605653,128507.65772639844
Bugesera,Ngeruka,-2.1541,30.2775,Clay,2,2,1,3,1,3,1,0,2,6,2,1,1,41,620,95,162,45,432.48543235428235,46.92247511516866,136.65755775443114,21,18,2212.3834691292573,6.926341554571259,2.5026748135722423,38.803616241753836,58.3003550664872,1115.272894414527,20.658560273343596,43.320919694728666,43.273141799397685,22.888954165248578,36.26927024652919,40757.01123488231
Bugesera,Ntarama,-2.1153,30.2225,Sandy clay,4,0,0,2,2,1,6,4,4,13,3,0,0,49,246,11,124,64,795.8512563335846,120.29801967667923,100.46029720009129,18,13,2086.821650648145,19.05109935432003,4.269953991892675,28.587796874346424,69.68861506209562,844.9776303020856,66.24766394982103,66.30027352773811,64.83864271237425,63.661888506023566,52.94111500795752,68023.97729117528
Bugesera,Nyamata,-2.1347,30.25,Clay loam,0,3,0,3,0,0,0,7,2,8,4,0,1,31,385,2,272,29,795.3813529033708,46.712366814243794,119.57670133748391,29,8,2243.2488357957686,19.43871186451107,6.815885617296728,17.948249594957417,49.0100758121161,1142.527877169587,67.44359866610927,44.36370312650057,30.780064885225592,48.8417204091529,62.94534290540872,127899.02533737008
Bugesera,Nyarugenge,-2.1541,30.25,Sandy loam,6,1,4,0,0,0,0,3,1,8,2,0,0,19,430,68,281,27,936.6414145770024,60.84127875140259,132.72682679122232,41,12,2205.5938009667234,13.54015222974935,4.929549361892508,46.686592746274904,96.39724034552415,1184.9766877759873,33.65405374141295,60.65083108835906,58.45058105944229,63.52007654491766,47.898721474046475,-33207.54394271619
Bugesera,Rilima,-2.1733,30.2775,Clay,4,0,0,3,1,6,2,9,3,4,0,1,0,27,162,61,133,84,599.3833975907597,88.51292112410111,122.89915376355425,12,23,2197.1598714518004,19.52334085466762,4.947171889587629,33.58964136570237,67.13964640718551,812.4102592707843,49.35860599770358,46.607091542341266,33.84885722346304,59.787614514998815,32.429287341175915,37298.26550868988
Bugesera,Ruhuha,-2.1733,30.25,Sandy clay,2,4,2,2,1,0,3,4,4,1,2,0,0,48,32,169,233,1,296.0783632021176,73.43599132046613,129.53670273052072,30,20,2226.624621446125,9.355914504421069,7.163959536504395,42.49887495067581,79.73446215453248,817.0427760697922,27.672379150066615,39.982392770594586,71.51602548167844,79.29933563897117,51.66634219587239,55294.191197466826
Bugesera,Sake,-2.1347,30.2225,Clay loam,2,4,3,3,0,4,5,7,4,11,1,0,2,39,658,94,34,27,878.659047557184,68.57495394733756,116.8033572987892,31,8,2129.299873432727,18.01692569259982,3.984982335216992,31.586488326474917,85.01490567647292,913.7886510224392,69.23587479967577,70.46905979532502,34.14937976131425,59.070086141437976,40.69335716625205,-17356.950378771202
Bugesera,Shyara,-2.1153,30.25,Sandy loam,1,4,1,2,2,1,11,1,4,12,2,0,2,46,334,107,282,30,634.6005421669231,72.350466546383,108.55180023573884,35,29,2020.6489940155172,15.446324017492403,4.537551766512461,44.86553174345026,75.47297058267864,1044.2869320183004,58.766813358923706,82.86026369390689,43.50214153592864,73.5849478889674,18.89993609433517,166705.90474551512
Gatsibo,Gasange,-1.7117,30.45,Clay loam,0,1,0,1,3,4,5,1,1,8,3,0,2,20,338,190,276,38,909.671015555222,74.39579889701069,106.77990597028608,46,8,1666.998194104799,27.259853432467807,5.8375732822222,5.940837757056244,61.65742622139975,958.3391719924142,54.5190755994768,21.64165120098786,56.481521137770386,106.19841568603474,46.17157637848564,103150.59271424082
Gatsibo,Gatsibo,-1.7117,30.4775,Sandy clay,2,3,2,0,1,3,2,3,4,5,4,0,2,30,657,104,345,27,952.9330936739038,85.67425164383185,108.92688942066127,32,7,1787.4790857678815,14.574190663382618,3.665734023962636,51.24762020189226,95.38055781278541,1124.4809545278192,43.10307597439777,87.31654412883698,76.30398028656575,77.64359259993915,45.454128628801236,110027.50709758906
Gatsibo,Gitoki,-1.6925,30.45,Clay,4,3,0,2,0,5,2,7,0,4,4,0,0,8,972,92,245,91,876.0057134556913,80.05330316889071,143.73847424984356,10,14,1768.792886903563,16.859108322395834,5.241296522076424,12.728030479736422,64.33416698846686,948.101892343129,50.58263178590002,43.10925618425881,68.76268952328446,53.59287965632012,25.304435295262614,178837.80711079662
Gatsibo,Kabarore,-1.6925,30.4775,Sandy loam,2,5,0,3,4,2,3,0,5,3,3,0,2,8,646,198,281,23,695.730023539491,107.76233531538256,97.98616450021288,12,23,1702.035477136887,9.033967112152546,5.811820487003461,46.36567216789223,57.86885013314102,255.40471986645935,49.34620661457995,62.742731376499854,87.91507936450499,46.85085250153736,21.939262629445953,116576.79350015605
Gatsibo,Kageyo,-1.6731,30.45,Clay loam,0,3,0,1,1,1,1,6,0,1,0,0,2,27,128,64,102,0,1083.8924828335967,93.47549189164826,108.15753663549705,16,27,1647.2064249128807,6.891379458005185,6.205200441087552,12.284741252241442,52.491630710754784,1129.6230768213431,16.773710712556976,91.8278402102481,69.75629976451602,61.8182195085765,47.68552769509936,114447.26393531269
Gatsibo,Kiramuruzi,-1.6731,30.4775,Sandy clay,5,4,2,3,0,3,10,2,5,10,4,0,2,42,908,130,210,10,809.8638676078349,41.37115546210554,117.38129738525653,28,24,1690.8414520107021,10.55254687012118,7.997423923807554,-5.844702548029211,96.24513021612742,911.5545133160967,43.418189079528474,75.06284644529248,49.33203640568921,66.62564732195341,48.90858426898206,185590.9077421344
Gatsibo,Kiziguro,-1.7117,30.505,Clay,2,3,0,0,1,5,7,8,2,4,4,1,2,39,237,139,8,29,404.43246776583874,74.52259195420885,133.9543789870221,38,22,1732.449604971422,13.292749158428562,3.288073629915206,20.506821882808897,30.101687906297254,789.9630706465879,24.0879614665956,75.55868708420438,62.28074622120022,59.43820644499223,26.431946625030047,23664.25089803713
Gatsibo,Muhura,-1.6925,30.505,Sandy loam,1,0,2,0,4,1,4,6,6,8,3,0,0,1,722,44,18,50,795.6110641494447,63.989450729425656,88.28117290689912,34,17,1678.164503323192,13.349846503531342,4.3344840580453905,43.96495259586377,40.49644135081109,508.2680893978829,46.54799413722129,75.49915147511999,69.32605074188871,60.226653963706724,77.85678472249512,115857.30378368052
Gatsibo,Murambi,-1.6731,30.505,Clay loam,3,1,3,1,3,0,1,1,2,8,3,1,1,38,839,91,74,18,597.2297243453131,131.75199584024534,134.14461409825438,39,16,1721.9537433700923,9.136867897335055,4.163295254463168,31.88961931274129,67.39906924760035,723.2003110873673,52.870375286567935,61.1916110149092,38.15790907064425,45.59233189614248,48.28140826474624,75671.01834977642
Gatsibo,Ngarama,-1.7311,30.45,Sandy clay,6,0,3,1,0,2,3,5,4,0,0,0,0,5,885,137,310,35,993.4806798929374,89.14768593039494,101.15680216288449,23,26,1676.3576609403913,24.866123537887987,5.950721626488719,45.78935246562514,63.048473444743145,1073.7918970752562,34.36286199217935,65.15767858063542,19.216769516921964,81.83606911509025,43.609325118891846,84198.04621184364
Gatsibo,Nyagihanga,-1.7311,30.4775,Clay,3,3,1,0,1,2,6,2,1,14,3,0,1,27,654,182,0,93,875.3088861543514,75.63179094529666,111.78294179623329,13,19,1737.1197414671483,13.621252864849296,5.3432306458193235,9.0338663559327,51.3821180651002,1185.174862004032,60.71733362624409,93.15438536969991,61.44371708497635,56.34290505210073,41.767688410081384,94099.297264178
Gatsibo,Remera,-1.7311,30.505,Sandy loam,4,0,0,4,1,0,4,2,3,14,2,0,2,23,200,116,3,6,635.1805140935364,51.99953219848766,115.47104999811582,49,16,1638.7948564398055,8.710036414252576,4.2126461100077135,40.1486819172312,27.59146598014707,1294.4906684006905,46.04183500113632,80.27987115999164,41.15772908936179,65.57188244217666,37.48799607150382,28725.104303978027
Gatsibo,Rugarama,-1.7506,30.45,Clay loam,0,3,1,1,1,3,10,9,4,11,4,0,0,37,186,43,181,70,1023.3145310122057,56.94708708233678,115.37885451860143,31,14,1772.989526486366,16.566047891106017,5.537467069195102,32.1732405410516,56.99458054925538,1174.0832523281297,47.701912108085594,41.18010940345852,37.04255228391619,56.99127021382169,50.63418613456537,97771.38651923658
Gatsibo,Rwimbogo,-1.7506,30.4775,Sandy clay,4,0,2,2,0,0,5,5,1,8,3,0,0,24,388,174,57,5,827.583723797438,78.92575063826663,134.77220503774828,24,9,1759.6991524246541,14.45191126187526,2.361247827829465,38.36640497185064,69.91662332859599,1154.3948371493352,20.28735898920763,73.48285177631722,63.05832391206102,83.92710459847096,44.56267832581226,147913.81877461635
Kayonza,Gahini,-1.8561,30.4775,Clay loam,4,3,1,0,1,4,5,9,4,7,1,1,2,26,18,54,280,24,913.4046059026075,111.55359598051004,95.13886372868595,29,14,1830.1800668538956,9.24919917869299,4.623037562918887,46.710846965718375,39.89223550561119,1077.3477282455374,32.66706263622747,78.85182641624944,42.74750629740006,70.15625333975234,5.916483821283741,35276.74931160585
Kayonza,Kabare,-1.8561,30.505,Sandy clay,3,0,2,4,0,0,11,1,6,13,0,0,2,8,473,33,159,96,834.2929832310648,77.33308374169027,89.78563969141686,13,23,1778.0990054912977,16.182157568025467,5.94733449928417,28.48066387121426,32.00910159715542,1218.6638754981095,49.949792799402154,23.511543764880585,44.597150212764134,101.81771189053651,39.94099735844515,75389.80784974512
Kayonza,Kabarondo,-1.8367,30.4775,Clay,1,2,0,2,0,6,10,1,0,11,0,1,0,20,250,129,228,49,809.2817492348008,88.4071103356566,146.11540277812702,17,10,1796.7230649225746,12.626459890557392,3.7153312245960133,14.116835009560575,45.39443847544338,780.7562149830735,45.51669145276855,79.5049131737822,41.97629508092943,69.48749596604438,23.480730849272,76094.87869605255
Kayonza,Mukarange,-1.8367,30.505,Sandy loam,1,4,2,1,3,0,8,1,0,10,2,0,1,18,114,106,296,32,907.0917033730998,110.12896247126258,74.75583923328733,46,29,1817.1635183494027,15.759673638572238,9.780217712834448,51.96083696170312,51.35645875962192,881.9560426414893,62.83411562878527,64.63835932880089,33.644160579636235,59.07510507648677,41.44434890889563,32176.676499436166
Kayonza,Murama,-1.8172,30.4775,Clay loam,3,4,0,4,0,5,1,6,6,0,4,1,1,42,427,79,40,19,1151.250583621287,78.19529485359753,71.70043473603582,18,15,1871.332699167376,7.824222894399616,3.3018570775531337,41.48452672064957,43.70335592788787,831.081117067289,28.1370586958555,60.76338577807778,52.32465905457528,48.0669878538487,41.006326399807506,71629.0870063435
